time,timezone,latitude,longitude,summary,sunriseTime,sunsetTime,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,daylight,city
2019-10-15 00:00:00,Asia/Kolkata,15.317277,75.71389,Possible light rain and humid throughout the day.,2019-10-15 06:20:00,2019-10-15 18:08:00,0.5178,1.8817,2019-10-15 06:29:00,0.85,rain,21.8,2019-10-15 05:23:00,28.67,2019-10-15 12:42:00,22.84,2019-10-15 05:22:00,31.84,2019-10-15 12:42:00,11:48:00,Karnataka
2019-10-12 00:00:00,Asia/Kolkata,23.745127,91.746826,Humid throughout the day.,2019-10-12 05:20:00,2019-10-12 17:01:00,0.0085,0.032,2019-10-12 10:27:00,0.1,rain,20.37,2019-10-12 04:25:00,31.93,2019-10-12 12:40:00,21.65,2019-10-12 04:26:00,37.98,2019-10-12 13:13:00,11:41:00,Tripura
2019-10-16 00:00:00,Asia/Kolkata,19.601194,75.552979,Foggy throughout the day.,2019-10-16 06:24:00,2019-10-16 18:05:00,0.0016,0.0083,2019-10-16 14:30:00,0.01,rain,19.2,2019-10-16 04:32:00,32.08,2019-10-16 14:10:00,19.76,2019-10-16 04:33:00,32.82,2019-10-16 13:31:00,11:41:00,Maharashtra
2019-10-13 00:00:00,Asia/Kolkata,11.059821,78.387451,"Rain until night, starting again in the afternoon.",2019-10-13 06:07:00,2019-10-13 18:01:00,0.7535,3.6151,2019-10-13 20:30:00,0.77,rain,25.43,2019-10-13 05:58:00,34.84,2019-10-13 12:35:00,27.44,2019-10-13 05:53:00,41.79,2019-10-13 12:26:00,11:54:00,Tamil Nadu
2019-10-12 00:00:00,Asia/Kolkata,22.978624,87.747803,Humid throughout the day.,2019-10-12 05:36:00,2019-10-12 17:18:00,0.0044,0.0131,2019-10-12 17:30:00,0.14,rain,21,2019-10-12 04:22:00,32.7,2019-10-12 13:17:00,22.08,2019-10-12 04:22:00,39.65,2019-10-12 13:23:00,11:42:00,West Bengal
2019-10-16 00:00:00,Asia/Kolkata,19.66328,75.300293,Foggy throughout the day.,2019-10-16 06:25:00,2019-10-16 18:06:00,0.0016,0.0083,2019-10-16 14:30:00,0.01,rain,19.41,2019-10-16 04:30:00,32.04,2019-10-16 14:12:00,19.95,2019-10-16 04:31:00,32.6,2019-10-16 13:32:00,11:41:00,Maharashtra
2019-10-13 00:00:00,Asia/Kolkata,28.207609,79.82666,Clear throughout the day.,2019-10-13 06:11:00,2019-10-13 17:45:00,0,0,2019-10-13 23:00:00,0,,19.61,2019-10-13 04:29:00,32.05,2019-10-13 13:34:00,20.3,2019-10-13 04:30:00,34.08,2019-10-13 13:30:00,11:34:00,Uttar Pradesh
2019-10-19 00:00:00,Asia/Kolkata,21.295132,81.828232,Possible drizzle in the afternoon.,2019-10-19 06:01:00,2019-10-19 17:37:00,0.0763,0.3776,2019-10-19 16:24:00,0.46,rain,20.35,2019-10-19 04:17:00,30.15,2019-10-19 13:27:00,21.38,2019-10-19 04:17:00,36.04,2019-10-19 13:26:00,11:36:00,Chhattisgarh
2019-10-18 00:00:00,Asia/Kolkata,10.850516,76.27108,Rain and humid throughout the day.,2019-10-18 06:15:00,2019-10-18 18:07:00,0.8348,3.9775,2019-10-18 17:31:00,0.98,rain,23.16,2019-10-18 04:27:00,33.21,2019-10-18 13:19:00,24.32,2019-10-18 04:29:00,38.33,2019-10-18 13:20:00,11:52:00,Kerala
2019-10-18 00:00:00,Asia/Kolkata,23.745127,91.746826,Humid throughout the day.,2019-10-18 05:23:00,2019-10-18 16:56:00,0.128,0.4326,2019-10-18 14:09:00,0.46,rain,21.59,2019-10-18 04:21:00,33.98,2019-10-18 11:47:00,22.92,2019-10-18 04:21:00,41.12,2019-10-18 12:13:00,11:33:00,Tripura
2019-10-17 00:00:00,Asia/Kolkata,22.978624,87.747803,Humid and mostly cloudy throughout the day.,2019-10-17 05:38:00,2019-10-17 17:14:00,0.0061,0.0836,2019-10-17 10:29:00,0.08,rain,22.61,2019-10-17 03:57:00,32.42,2019-10-17 13:16:00,23.75,2019-10-17 04:01:00,40.38,2019-10-17 13:18:00,11:36:00,West Bengal
2019-10-19 00:00:00,Asia/Kolkata,22.978624,87.747803,Humid and mostly cloudy throughout the day.,2019-10-19 05:38:00,2019-10-19 17:12:00,0.2394,1.1325,2019-10-19 13:59:00,0.45,rain,23.53,2019-10-19 04:22:00,32.59,2019-10-19 13:19:00,24.88,2019-10-19 04:22:00,40.99,2019-10-19 13:12:00,11:34:00,West Bengal
2019-10-12 00:00:00,Asia/Kolkata,26.244156,92.537842,Humid throughout the day.,2019-10-12 05:18:00,2019-10-12 16:57:00,0.092,0.5069,2019-10-12 00:00:00,0.35,rain,20.88,2019-10-12 04:19:00,31.26,2019-10-12 13:19:00,22.03,2019-10-12 04:20:00,37.29,2019-10-12 13:16:00,11:39:00,Assam
2019-10-18 00:00:00,Asia/Kolkata,12.9141,74.856,Light rain and humid throughout the day.,2019-10-18 06:22:00,2019-10-18 18:12:00,0.718,3.5666,2019-10-18 00:00:00,0.99,rain,23.85,2019-10-18 03:30:00,29.83,2019-10-18 11:32:00,24.98,2019-10-18 03:31:00,34.2,2019-10-18 11:59:00,11:50:00,Mangalore
2019-10-11 00:00:00,Asia/Kolkata,17.874857,78.100815,Rain and humid throughout the day.,2019-10-11 06:11:00,2019-10-11 18:00:00,1.148,5.1786,2019-10-11 21:00:00,0.89,rain,20.92,2019-10-11 03:35:00,29.24,2019-10-11 13:31:00,21.96,2019-10-11 03:38:00,32.79,2019-10-11 13:31:00,11:49:00,Telangana
